GEO_ID,NAME,Total Freshwater Withdrawn 
48001,Anderson County,0.96
48003,Andrews County,0.17
48005,Angelina County,0.87
48007,Aransas County,0.04
48009,Archer County,1.58
48011,Armstrong County,0.26
48013,Atascosa County,1.26
48015,Austin County,1.07
48017,Bailey County,3.06
48019,Bandera County,0.2
48021,Bastrop County,0.94
48023,Baylor County,0.64
48025,Bee County,0.52
48027,Bell County,0.77
48029,Bexar County,0.66
48031,Blanco County,0.26
48033,Borden County,0.11
48035,Bosque County,0.66
48037,Bowie County,1.54
48039,Brazoria County,1.43
48041,Brazos County,1.09
48043,Brewster County,0.27
48045,Briscoe County,0.22
48047,Brooks County,0.46
48049,Brown County,0.87
48051,Burleson County,0.99
48053,Burnet County,0.42
48055,Caldwell County,0.71
48057,Calhoun County,0.24
48059,Callahan County,0.64
48061,Cameron County,0.28
48063,Camp County,4.68
48065,Carson County,0.3
48067,Cass County,2.26
48069,Castro County,9.48
48071,Chambers County,0.45
48073,Cherokee County,1.57
48075,Childress County,0.2
48077,Clay County,1.33
48079,Cochran County,0.37
48081,Coke County,0.19
48083,Coleman County,0.57
48085,Collin County,0.69
48087,Collingsworth County,0.34
48089,Colorado County,1
48091,Comal County,0.22
48093,Comanche County,2.8
48095,Concho County,0.3
48097,Cooke County,1.32
48099,Coryell County,1.02
48101,Cottle County,0.26
48103,Crane County,0.05
48105,Crockett County,0.4
48107,Crosby County,0.14
48109,Culberson County,0.26
48111,Dallam County,6.79
48113,Dallas County,0.29
48115,Dawson County,0.04
48117,Deaf Smith County,9.81
48119,Delta County,0.61
48121,Denton County,0.7
48123,DeWitt County,1.35
48125,Dickens County,0.31
48127,Dimmit County,0.28
48129,Donley County,0.76
48131,Duval County,0.52
48133,Eastland County,0.69
48135,Ector County,0.09
48137,Edwards County,0.27
48139,Ellis County,0.81
48141,El Paso County,0.16
48143,Erath County,4.43
48145,Falls County,1.44
48147,Fannin County,1.23
48149,Fayette County,1.57
48151,Fisher County,0.32
48153,Floyd County,1.16
48155,Foard County,0.22
48157,Fort Bend County,0.6
48159,Franklin County,2.48
48161,Freestone County,1.03
48163,Frio County,1.15
48165,Gaines County,0.12
48167,Galveston County,0.19
48169,Garza County,0.11
48171,Gillespie County,0.72
48173,Glasscock County,0.1
48175,Goliad County,0.66
48177,Gonzales County,8.47
48179,Gray County,1.84
48181,Grayson County,1.16
48183,Gregg County,0.11
48185,Grimes County,1.71
48187,Guadalupe County,0.88
48189,Hale County,3.72
48191,Hall County,0.24
48193,Hamilton County,1.16
48195,Hansford County,4.37
48197,Hardeman County,0.32
48199,Hardin County,0.17
48201,Harris County,1
48203,Harrison County,0.54
48205,Hartley County,6.94
48207,Haskell County,0.27
48209,Hays County,0.32
48211,Hemphill County,1.09
48213,Henderson County,1.05
48215,Hidalgo County,0.64
48217,Hill County,0.97
48219,Hockley County,0.34
48221,Hood County,0.44
48223,Hopkins County,4.84
48225,Houston County,1.24
48227,Howard County,0.19
48229,Hudspeth County,0.36
48231,Hunt County,1.09
